comment,rating,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Проблемы,speed,quality,staff,execution,solved
норм,1,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
спасибо. все прошло очень хорошо,5,1.0,0.0,1.0,0.0,0.0,0.0,False,True,True,False,False
"спасибо, пришли все поменяли за 10 минут",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
все очень оперативно,5,1.0,0.0,0.0,1.0,1.0,0.0,True,False,False,False,False
огромное спасибо.,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
все отлично! спасибо.,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False
хороший мастер,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо за оперативность!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
выполнена,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
"все супер, мастер",5,1.0,0.0,1.0,0.0,0.0,0.0,False,True,True,False,False
благодарю ребят.,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо большое,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"проблема решена, ручки на окна поставили. спасибо за обратную связь!",5,1.0,1.0,1.0,0.0,1.0,0.0,False,False,True,False,True
благодарю за проделанную работу!,5,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,False,False
"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
"спасибо, всё чётко.",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
благодарю,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
спасибо сергей !,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"михаил отличный мастер своего дела. сделал быстро, чисто, дал рекомендации",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
хоть что то сделали,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,True,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"профессионально, быстро. очень приятный мастер",5,1.0,0.0,1.0,0.0,0.0,0.0,True,True,True,False,False
спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"спасибо, вопрос решили, всё стало нормально",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,True
татьяна владимировна большое вам спасибо!!!!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо за быстрый ответ!,1,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,False,False
огромное спасибо вам от всего подъезда!!!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
все отлично,5,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,False,False
свершилось,1,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо мастеру,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"спасибо, вам, среагировали оперативно быстро, а так же всё время были на связи",5,1.0,1.0,0.0,1.0,1.0,0.0,True,False,True,False,False
"среагировали быстро, благодарю",5,1.0,1.0,0.0,1.0,1.0,0.0,True,False,False,False,False
спасибо за оперативность!,5,1.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False
отличный мастер!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"спасибо! по крайней мере, по ночам пока шума не слышно.",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
быстро,5,1.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False
спасибо за своевременное выполнение заявки...,5,1.0,1.0,0.0,1.0,1.0,0.0,True,False,True,False,False
все сделали быстро. спасибо,5,1.0,0.0,1.0,1.0,1.0,0.0,True,False,True,True,False
всё отлично,5,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,False,False
"большое спасибо александру,за оперативность и профессионализм",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,False,False
благодарю,5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False
оперативно и качественно. спасибо,5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,False,False
"благодарю, всего доброго!",5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False
спасибо большое!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
к мастеру вопросов нет.,3,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"мастер быстро решил проблему!всё исправил,очень довольна!спасибо!",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо большое! надолго ли,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
огромное спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
всё очень четко организовано! большое спасибо за работу!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо вам большое и за дверь и за номера квартир!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
снимаю звезду за первую отписку без выполнения работ,3,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False
"в день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность !",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
спасибо! все заработало,5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False
"спасибо, решили мой вопрос на месте в офисе",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,True
"спасибо больше ольге птушкине, за проделанную работу!",5,1.0,1.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"всё сделали хорошо, починили вовремя. наверное, молодцы.",5,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,True,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
супер! спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False
отлично! все выполнили как и обещали!,5,1.0,0.0,0.0,0.0,1.0,0.0,False,True,False,True,False
очень оперативно. спасибо большое,5,1.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False
"мастер андрей помог подобрать оборудование краны переходники для подключения, быстро и качественно произвел подключение стиральной машинки. огромное ему спасибо.",5,1.0,1.0,0.0,0.0,1.0,0.0,True,True,True,False,False
умело подкрутили редукторы давления. молодец!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,True,False,True,False
"все хорошо,дверь практически бесшумно закрывается",5,1.0,0.0,1.0,0.0,0.0,0.0,False,True,False,False,True
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. спасибо сотрудникам",5,0.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
"быстро, чётко, без проблем. одно слово - мастер!",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,False,False
работает. спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"сегодня ездил, все исправно работает, спасибо!",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
"спасибо большое, всё понятно.",5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False
татьяна спасибо,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
на вопрос ответили. крепления нельзя повесить в колясочной,5,0.0,1.0,1.0,0.0,1.0,0.0,False,False,False,False,False
большое спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
лучший,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо за оперативность,5,1.0,1.0,0.0,1.0,0.0,0.0,True,False,True,False,False
спасибо за то что быстро отреагировали,5,0.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
"сервис на высоте, мастер - профессионал",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
спасибо большое,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
ок,1,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False
надолго ли,2,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False
спасибо. все работает,5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,True,False
спасибо большое!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"заявка выполнена, спасибо.",5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False
дверь закрывается намного лучше.,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо за быстрое реагирование!!!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
"оперативно сработали, благодарю.",5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
"спасибо сантехнику алексею, все сделано качественно",5,1.0,0.0,1.0,0.0,0.0,0.0,False,True,True,True,False
"огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! все решилось наилучшим образом! вот так бы все вопросы оперативно решались!!!",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,False,False
очень оперативно и никуда не пришлось ходить.,5,1.0,0.0,0.0,1.0,1.0,0.0,True,False,False,False,False
проблема решена.,5,1.0,0.0,1.0,0.0,1.0,0.0,False,False,False,False,True
очень оперативно отреагировали! спасибо!,5,1.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False
"оперативно, качественно, вопросов не возникло. спасибо.",5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,False,False
быстро!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
благодарю за оперативность!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
спасибо за оперативное решение проблемы.,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
оперативная работа,1,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False,False,False
оперативное решение проблемы!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
первый раз вы решили вопрос быстро,5,1.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True
надолго ли,1,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False
отлично спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False
"спасибо большое, татьяна.",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
лучший мастер на свете спасибо большое,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"спасибо большое, что починили домофон.",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,True,False
отличная работа,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
спасибо огромное за помощь!,5,1.0,0.0,1.0,0.0,1.0,0.0,False,False,True,False,False
"обычная услуга. цена, правда, завышена за около 10ти минут работы .",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,False
отличная работа. теперь дверь закрывается плавно. спасибо.,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо большое,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
все супер быстро! спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False
оперативно спасибо,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
супер,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
спасибо.,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"молодцы, оперативно.",5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
вопрос решился быстро. спасибо!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
александру спасибо за объяснение причины бульканья !,5,1.0,0.0,0.0,1.0,0.0,0.0,False,False,True,False,False
спасибо! всё быстро!,5,1.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
спасибо! исправили мою ошибку,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True
мастер сделал все очень быстро и аккуратно,5,1.0,0.0,1.0,1.0,0.0,0.0,True,True,True,False,False
спасибо за оперативность,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
очень вежливый и профессиональный мастер. устранил все недочеты оперативно и качественно. просто отлично. спасибо,5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,False,False
"иван, огромное спасибо вам !",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
среагировали за 20 минут!!!!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
"спасибо специалисту роману, который помог мне наконец-то решить мой вопрос! очень грамотный и вежливый специалист",5,1.0,1.0,0.0,1.0,0.0,0.0,False,False,True,False,False
спасибо! в тот же день электрик решил проблему.,5,1.0,0.0,1.0,1.0,0.0,0.0,False,False,True,False,False
"лифт и полы помыли , большое спасибо за уборку ! ждём установку зеркал в лифтах",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
да все верно. спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
спасибо всё бистро устранили,5,1.0,0.0,0.0,1.0,0.0,0.0,False,False,True,True,False
"спасибо, вроде бы стало лучше.",4,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False
спасибо большое за вашу быструю и профессиональную помощь.,5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
"все быстро, не смотря на поздний час.",5,1.0,0.0,1.0,1.0,0.0,0.0,True,False,True,False,False
ответ был предоставлен оперативно и в полном объеме,5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,False
"спасибо огромное, напор стал отличным!",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо там правда все убрали и стало прям чисто если можете еще отмыть пятна чего-то буду очень вам признателен возможно там нужна не только тряпка,5,1.0,0.0,1.0,1.0,0.0,0.0,False,False,True,False,False
сделали,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
спасибо мастеру сергею за четкую работу!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"наконец - то. очень надеюсь, что через 2 дня он не встанет снова",4,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
"благодарим, очень оперативно!",5,1.0,0.0,1.0,1.0,0.0,0.0,True,False,False,False,False
"быстро, мастеру большое спасибо",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
"вопрос решен быстро, спасибо мастеру. фото выполненной работы приложил и даже позвонил!",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,True,False
главное что проблема решена! спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,True
спасибо.. все сделали быстро .. очень вежливые сотрудники.,5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,True,False
"спасибо, что решили проблему оперативно",5,1.0,0.0,0.0,1.0,1.0,0.0,True,False,True,True,True
"оперативно, внимательно, вежливо. спасибо.",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,False,False
"спасибо, всё оперативно сделали!",5,1.0,0.0,1.0,1.0,0.0,0.0,True,False,True,True,False
была распечатана бумажная квитанция.хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение самолет ук,5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
заявка быстра принята в работу. проблема решена. спасибо!,5,1.0,0.0,0.0,1.0,0.0,0.0,False,False,True,False,True
молодцы! быстро!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
спасибо большое за оперативность,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
благодарю!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
"спасибо большое,всех благ и процветание вашей компании",5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False
спасибо электрику,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
всё грамотно по полочкам объяснил,5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False
благодарю за быстро и качественно оказанную услугу,5,1.0,0.0,1.0,1.0,0.0,0.0,True,True,False,False,False
спасибо за оперативное решение вопроса!,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
"огромное спасибо, быстро и качественно",5,1.0,0.0,1.0,1.0,1.0,0.0,True,True,True,False,False
спасибо большое за оперативность,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
спасибо за ремонт!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
благодарю менеджера татьяну,5,1.0,0.0,1.0,0.0,1.0,0.0,False,False,False,False,False
благодарю менеджера,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
сотрудники молодцы!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
большое спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
оперативно и качественно! браво!,5,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,False
спасибо огромное! оперативно и качественно решили проблему!,5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,True
"поднималась сегодня с утра, запаха нет совсем. спасибо большое",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"специалист проконсультировал, сориентировал по срокам.",5,0.0,1.0,1.0,0.0,1.0,0.0,False,False,True,False,False
"спасибо, быстро и качественно.",5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,False,False
спасибо.,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
спасибо за оперативность,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
все отлично! спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False
"спасибо, большое!!!",5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
спасибо большое !,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
быстро и оперативно,5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,False
все отлично,5,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,False,False
оперативно. пока работает,5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False
"лика, спасибо вам за оперативный ответ и подробные разъяснения по работе с приложением!",5,0.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
отличный сотрудник,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо мастеру олегу!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"для точной оценки нужно пережить зиму и понять, лучше стало или нет",5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False
"спасибо большое за оперативность! уже оценили песочек - очень хороший, чистый дети были очень рады что в песочнице достаточное количество песка!",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
быстро.качественно.,5,1.0,0.0,1.0,1.0,0.0,0.0,True,True,False,False,False
спасибо большое всё решили быстро!,5,1.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
"оперативно, быстро .",5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
"оказали не только услугу по приобретению ключа,но ещё установили приложение ук самолёт!!!",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,False,False,False
приходил мастер все отрегулировал большое спасибо,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
оперативно,5,1.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False
спасибо за консультацию,5,0.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
"парни установщики отработали на 5 , а вот упаковка не очень , тк не полный комплект фурнитуры отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо! всё хорошо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False
все ок,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
сразу бы так,5,1.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False
"ответ получен. спасибо, что результатом стало уточнение и меня поняли.",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"благодарю за обратную связь. за возможность добавить необходимый документ в лк приложения и тем самым решить вопрос, не посещая клиентский офис. при звонке было вежливое, доброжелательное отношение.",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,False,False,False
прислали на следующий день.,5,1.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False
очень быстро отреагировали. работа качественная!,5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False
ну устранено,1,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False
спасибо за подсказки и внимательное отношение,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
сантехник связался сразу. вопрос решен.,5,1.0,0.0,1.0,1.0,0.0,0.0,True,False,False,True,False
спасибо технику,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
благодарю. всё отлично .,5,1.0,0.0,1.0,0.0,0.0,0.0,False,True,False,False,False
сантехник был,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
подсказали куда обратиться для решения вопроса,5,0.0,1.0,1.0,0.0,1.0,0.0,False,False,False,False,False
спасибо большое за информацию. татьяна молодец!,5,1.0,0.0,1.0,0.0,1.0,0.0,False,False,True,False,False
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю.",5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
все было сделано быстро и качественно.,5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,False,True,False
"напор стал гораздо сильнее, небо и земля. быстро поняли причину слабого напора. спасибо",5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,True,False,False
"спасибо за вашу работу! вычислить бы, кто вырвал предыдущий доводчик и наказать! а вам спасибо!",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
да открыла спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"быстро позвонили, пришли все сделали,спасибо",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,True,False
"молодцы, очень оперативно!!!!! прям минус одна головная боль",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,False
"очень быстро, качественно. спасибо!",5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,False,False
спасибо большое за разъяснения и за оперативность,5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,False,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"сотрудники работают на 5 ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,False
быстро и понятно,5,1.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False
спасибо за консультацию!,5,0.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False
спасибо за оперативность,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
"просто и удобно, а также быстро и экономия времени и ресурсов .",5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,False
отлично!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
норм,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
отлично все сделано 5 балов.,5,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,True,False
четвёрка за то что выслали только со второго раза. нужную квитанцию!,4,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
отлично,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
спс,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
"спасибо большое, все получила",5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"спасибо ,очень оперативно",5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
"благодарю мастера, всё объяснил и дал рекомендации",5,0.0,1.0,1.0,1.0,1.0,0.0,False,False,True,False,False
ребята молодцы,5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,False,False,False
спасибо за оперативное решение,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"оперативно, спасибо",5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,False
большое спасибо мастеру!,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании самолет ук",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
"специалист компетентно объяснил, что необходимо сделать таких случаях! игорь золотухин",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
быстро и чётко,5,1.0,0.0,1.0,1.0,0.0,0.0,True,False,False,False,False
всё хорошо,5,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,False,False
владимир грамотно и здорово и быстро все сделал,5,1.0,1.0,1.0,1.0,1.0,0.0,True,True,False,False,False
отличный сервис!,5,1.0,1.0,1.0,1.0,1.0,0.0,False,False,False,False,False
огромное спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"спасибо! сервис работает, это самое главное",5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
